,N. parvum,X. sp.,descriptions
IPR005106,1,0,"Aspartate/homoserine dehydrogenase, NAD-binding"
IPR011147,1,0,Bifunctional aspartokinase/homoserine dehydrogenase
IPR019811,1,0,"Homoserine dehydrogenase, conserved site"
IPR022697,1,0,Homoserine dehydrogenase lacking ACT domain
IPR002067,15,17,Mitochondrial carrier protein
IPR025279,1,1,Stress response protein NST1
IPR042831,1,1,"54S ribosomal protein L28, mitochondrial"
IPR016657,1,1,Phosphoacetylglucosamine mutase
IPR001196,2,2,"Ribosomal protein L15, conserved site"
IPR036227,2,4,Ribosomal L18e/L15P superfamily
IPR018712,6,8,Tle1 phospholipase
IPR000814,1,1,TATA-box binding protein
IPR030491,1,1,"TATA-box binding protein, conserved site"
IPR000425,8,2,Major intrinsic protein
IPR022357,1,0,"Major intrinsic protein, conserved site"
IPR000637,2,0,"HMG-I/HMG-Y, DNA-binding, conserved site"
IPR021331,3,1,"Hypervirulence associated protein, TUDOR domain"
IPR010987,13,16,"Glutathione S-transferase, C-terminal-like"
IPR000590,1,0,"Hydroxymethylglutaryl-coenzyme A synthase, active site"
IPR010122,1,1,"Hydroxymethylglutaryl-CoA synthase, eukaryotic"
IPR013528,1,1,"Hydroxymethylglutaryl-coenzyme A synthase, N-terminal"
IPR013746,1,1,"Hydroxymethylglutaryl-coenzyme A synthase, C-terminal domain"
IPR031352,2,1,"NACHT-NTPase and P-loop NTPases, N-terminal domain"
IPR007133,1,0,RNA polymerase II associated factor Paf1
IPR000868,7,9,Isochorismatase-like
IPR036380,7,9,Isochorismatase-like superfamily
IPR006689,5,7,"Small GTPase superfamily, ARF/SAR type"
IPR024156,3,4,"Small GTPase superfamily, ARF type"
IPR018858,1,0,Protein of unknown function DUF2458
IPR006685,2,2,Mechanosensitive ion channel MscS
IPR023408,2,1,"Mechanosensitive ion channel MscS, beta-domain superfamily"
IPR007205,1,0,Protein HGH1 N-terminal
IPR007206,1,0,Protein HGH1 C-terminal
IPR039717,1,0,Protein Hgh1
IPR008851,1,1,"Transcription initiation factor IIF, alpha subunit"
IPR011039,2,2,"Transcription Factor IIF, Rap30/Rap74, interaction"
IPR008659,1,0,"Yeast cell wall synthesis Kre9/Knh1, C-terminal"
IPR018466,4,3,"Yeast cell wall synthesis Kre9/Knh1-like, N-terminal"
IPR045328,1,0,Yeast cell wall synthesis Kre9/Knh1
IPR007603,2,3,Choline transporter-like
IPR001365,3,3,Adenosine deaminase domain
IPR006330,3,3,Adenosine/adenine deaminase
IPR013659,1,0,Adenosine/AMP deaminase N-terminal
IPR007781,1,1,Alpha-N-acetylglucosaminidase
IPR024240,1,1,"Alpha-N-acetylglucosaminidase, N-terminal"
IPR024732,1,1,"Alpha-N-acetylglucosaminidase, C-terminal"
IPR024733,1,1,"Alpha-N-acetylglucosaminidase, tim-barrel domain"
IPR003378,3,3,Fringe-like
IPR000669,1,0,Mannitol dehydrogenase
IPR013118,1,0,"Mannitol dehydrogenase, C-terminal"
IPR013131,1,0,"Mannitol dehydrogenase, N-terminal"
IPR023028,1,0,Mannitol-1-phosphate 5-dehydrogenase
IPR007823,1,1,Ribosomal RNA processing protein 8
IPR042036,1,1,"Ribosomal RNA-processing protein 8, N-terminal domain"
IPR019103,1,1,"Aspartic peptidase, DDI1-type"
IPR033882,1,1,DNA damage inducible protein 1 ubiquitin-like domain
IPR003500,1,0,"Sugar-phosphate isomerase, RpiB/LacA/LacB family"
IPR011860,1,0,"Ribose 5-phosphate isomerase B, Actinobacteria-type"
IPR036569,1,0,"Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily"
IPR021476,2,4,Egh16-like virulence factor
IPR006169,1,1,GTP1/OBG domain
IPR031167,5,5,OBG-type guanine nucleotide-binding (G) domain
IPR036726,1,1,GTP1/OBG domain superfamily
IPR045086,1,1,OBG-type GTPase
IPR018909,1,0,"Endo-1,3(4)-beta-glucanase 1, carbohydrate binding"
IPR005635,1,0,"Inner centromere protein, ARK-binding domain"
IPR005321,1,1,"Peptidase S58, DmpA"
IPR016117,2,2,ArgJ-like domain superfamily
IPR003347,11,8,JmjC domain
IPR041667,5,5,Cupin-like domain 8
IPR001917,2,1,"Aminotransferase, class-II, pyridoxal-phosphate binding site"
IPR005861,1,1,Histidinol-phosphate aminotransferase family
IPR001370,1,1,BIR repeat
IPR015222,1,0,"Phosphatidate cytidylyltransferase, mitochondrial"
IPR002616,2,2,tRNA-guanine(15) transglycosylase-like
IPR036511,2,2,Queuine tRNA-ribosyltransferase-like
IPR013920,1,1,"Protein of unknown function DUF1774, fungi"
IPR012941,5,4,"Phenol hydroxylase, C-terminal dimerisation domain"
IPR038220,7,6,"Phenol hydroxylase, C-terminal TRX-fold domain superfamily"
IPR000058,1,3,"Zinc finger, AN1-type"
IPR035896,1,3,AN1-like Zinc finger
IPR009445,1,1,TMEM85/ER membrane protein complex subunit 4
IPR004798,1,2,Calcium/proton exchanger CAX-like
IPR036627,1,0,"CobW-like, C-terminal domain superfamily"
IPR004834,3,3,Fungal chitin synthase
IPR013616,3,3,Chitin synthase N-terminal
IPR020981,1,1,"Monopolin complex subunit Csm1/Pcs1, C-terminal"
IPR038608,1,1,"Csm1/Pcs1, C-terminal domain superfamily"
IPR040349,1,1,Monopolin complex subunit Csm1/Pcs1
IPR001210,1,1,Ribosomal protein S17e
IPR018273,1,0,"Ribosomal protein S17e, conserved site"
IPR036401,1,1,Ribosomal protein S17e-like superfamily
IPR016712,1,1,"Mitochondrial ribosomal protein MRP51, fungi"
IPR007308,1,1,Rtr1/RPAP2 domain
IPR038534,1,1,Rtr1/RPAP2 domain superfamily
IPR039693,1,1,Rtr1/RPAP2
IPR035552,1,1,"Mti1, SH3 domain"
IPR013096,7,5,"Cupin 2, conserved barrel"
IPR047263,1,0,"Hydroxynitrile lyase-like, cupin domain"
IPR000209,14,24,Peptidase S8/S53 domain
IPR015500,11,16,"Peptidase S8, subtilisin-related"
IPR023827,6,8,"Peptidase S8, subtilisin, Asp-active site"
IPR034193,5,4,Proteinase K-like catalytic domain
IPR008334,1,2,"5'-Nucleotidase, C-terminal"
IPR006600,2,1,HTH CenpB-type DNA-binding domain
IPR008422,2,3,Homeobox KN domain
IPR001303,6,6,Class II aldolase/adducin N-terminal
IPR036409,6,6,Class II aldolase/adducin N-terminal domain superfamily
IPR001096,1,0,"Peptidase C13, legumain"
IPR028361,1,0,GPI-anchor transamidase
IPR007012,1,3,"Poly(A) polymerase, central domain"
IPR009097,2,2,Cyclic phosphodiesterase
IPR011068,1,3,"Nucleotidyltransferase, class I-like, C-terminal"
IPR040459,1,2,MJ1316 RNA cyclic group end recognition domain
IPR006085,4,4,"XPG, N-terminal"
IPR006086,5,5,XPG-I domain
IPR036279,5,4,"5'-3' exonuclease, C-terminal domain superfamily"
IPR037316,1,1,"Yen1, H3TH domain"
IPR041177,1,1,"Holliday junction resolvase Gen1, C-terminal domain"
IPR047215,2,2,Galactose mutarotase-like
IPR002317,2,2,"Serine-tRNA ligase, type1"
IPR010978,2,2,"Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm"
IPR015866,2,2,"Serine-tRNA synthetase, type1, N-terminal"
IPR042103,2,2,"Serine-tRNA synthetase, type1, N-terminal domain superfamily"
IPR021765,3,23,Mycotoxin biosynthesis protein UstYa-like
IPR029130,1,1,"Acid ceramidase, N-terminal"
IPR001902,3,3,SLC26A/SulP transporter
IPR002645,3,4,STAS domain
IPR011547,4,4,SLC26A/SulP transporter domain
IPR018045,2,2,"Sulphate anion transporter, conserved site"
IPR036513,3,4,STAS domain superfamily
IPR006634,2,4,TRAM/LAG1/CLN8 homology domain
IPR012317,1,1,"Poly(ADP-ribose) polymerase, catalytic domain"
IPR004859,2,2,"Xrn1, N-terminal"
IPR017151,1,1,5'-3' exoribonuclease type 2
IPR027073,2,2,5'-3' exoribonuclease
IPR041412,2,2,"Xrn1, helical domain"
IPR006953,1,1,"Vesicle tethering protein Uso1/P115-like , head domain"
IPR006955,1,1,"Uso1/p115-like vesicle tethering protein, C-terminal"
IPR001412,10,8,"Aminoacyl-tRNA synthetase, class I, conserved site"
IPR002301,2,2,Isoleucine-tRNA ligase
IPR023586,1,1,"Isoleucine-tRNA ligase, type 2"
IPR033709,1,1,"Isoleucyl tRNA synthetase type 2, anticodon-binding domain"
IPR013665,1,1,Sfi1 spindle body
IPR022033,1,1,RAVE complex protein Rav1 C-terminal
IPR031728,4,4,"Beta-glucuronidase, C-terminal"
IPR018959,1,0,Domain of unknown function DUF1989
IPR029476,2,0,Deoxyribonuclease NucA/NucB
IPR037997,1,1,CTP-dependent diacylglycerol kinase 1-like
IPR025313,4,3,Domain of unknown function DUF4217
IPR022099,2,2,Domain of unknown function DUF3638
IPR022105,2,2,Domain of unknown function DUF3645
IPR046541,2,2,Domain of unknown function DUF6606
IPR001283,4,2,Cysteine-rich secretory protein-related
IPR014044,4,2,CAP domain
IPR034113,1,1,"Golgi-associated plant pathogenesis-related protein 1, SCP domain"
IPR035940,4,3,CAP superfamily
IPR045035,2,2,Metal-nicotianamine transporter YSL-like
IPR010699,3,2,Protein of unknown function DUF1275
IPR044053,4,11,Hydroxylase/desaturase AsaB-like
IPR001567,5,2,Peptidase M3A/M3B catalytic domain
IPR024077,5,2,"Neurolysin/Thimet oligopeptidase, domain 2"
IPR024080,3,1,"Neurolysin/Thimet oligopeptidase, N-terminal"
IPR045090,4,2,Peptidase M3A/M3B
IPR001031,6,4,Thioesterase
IPR002642,4,2,"Lysophospholipase, catalytic domain"
IPR000718,2,1,Peptidase M13
IPR008753,2,1,"Peptidase M13, N-terminal domain"
IPR001087,5,3,GDSL lipase/esterase
IPR046439,1,1,"Zinc finger, RZ-type"
IPR012725,1,0,Chaperone DnaK
IPR013126,8,11,Heat shock protein 70 family
IPR018181,3,4,"Heat shock protein 70, conserved site"
IPR029047,4,5,"Heat shock protein 70kD, peptide-binding domain superfamily"
IPR029048,4,5,"Heat shock protein 70kD, C-terminal domain superfamily"
IPR019417,1,0,Domain of unknown function DUF2415
IPR006238,1,1,"Cystathionine beta-lyase, eukaryotic"
IPR000634,4,1,"Serine/threonine dehydratase, pyridoxal-phosphate-binding site"
IPR001926,13,6,"Tryptophan synthase beta chain-like, PALP domain"
IPR036052,13,6,"Tryptophan synthase beta chain-like, PALP domain superfamily"
IPR002656,7,6,Acyltransferase 3 domain
IPR009799,5,3,EthD domain
IPR005592,2,0,"Mono-/di-acylglycerol lipase, N-terminal"
IPR016300,1,1,"Arsenical pump ATPase, ArsA/GET3"
IPR025723,1,1,Anion-transporting ATPase-like domain
IPR027542,1,1,"Arsenical pump ATPase, ArsA/GET3, eukaryotic"
IPR015194,1,1,"ISWI, HAND domain"
IPR015195,1,1,SLIDE domain
IPR036306,1,1,"ISWI, HAND domain superfamily"
IPR044754,1,1,"Isw1/2, N-terminal"
IPR002469,2,2,"Dipeptidylpeptidase IV, N-terminal domain"
IPR000254,8,8,"Cellulose-binding domain, fungal"
IPR035971,8,8,Cellulose-binding domain superfamily
IPR003604,7,5,"Matrin/U1-C-like, C2H2-type zinc finger"
IPR022755,5,1,"Zinc finger, double-stranded RNA binding"
IPR040107,1,0,U4/U6.U5 small nuclear ribonucleoprotein component Snu23
IPR005631,1,1,Flavinator of succinate dehydrogenase
IPR028882,1,1,"Succinate dehydrogenase assembly factor 2, mitochondrial"
IPR036714,1,1,Flavinator of succinate dehydrogenase superfamily
IPR013024,3,5,Gamma-glutamyl cyclotransferase-like
IPR017939,2,2,Gamma-glutamylcyclotransferase
IPR036568,2,5,Gamma-glutamyl cyclotransferase-like superfamily
IPR001261,4,7,"ArgE/DapE/ACY1/CPG2/YscS, conserved site"
IPR017153,1,1,Cytosolic nonspecific dipeptidase/DUG1
IPR032054,1,1,"DNA replication factor Cdt1, C-terminal"
IPR038090,1,1,"DNA replication factor Cdt1, C-terminal WH domain superfamily"
IPR032382,3,0,Alternaria alternata allergen 1
IPR009038,4,3,GOLD domain
IPR015720,4,2,Transmembrane emp24 domain-containing protein
IPR000433,6,3,"Zinc finger, ZZ-type"
IPR032350,1,1,"Next to BRCA1, central domain"
IPR043145,6,3,"Zinc finger, ZZ-type superfamily"
IPR006620,2,9,"Prolyl 4-hydroxylase, alpha subunit"
IPR044862,1,8,"Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain"
IPR045054,1,7,Prolyl 4-hydroxylase
IPR000772,1,3,"Ricin B, lectin domain"
IPR019349,1,1,"Ribosomal protein S24/S35, mitochondrial, conserved domain"
IPR007235,1,1,"Glycosyl transferase, family 28, C-terminal"
IPR002734,1,1,"Bacterial bifunctional deaminase-reductase, C-terminal"
IPR024072,1,2,Dihydrofolate reductase-like domain superfamily
IPR000506,1,0,"Ketol-acid reductoisomerase, C-terminal"
IPR013023,1,0,Ketol-acid reductoisomerase
IPR013116,1,0,"Ketol-acid reductoisomerase, N-terminal"
IPR016207,1,0,"Ketol-acid reductoisomerase, fungi"
IPR037652,1,1,Mim2
IPR002838,2,2,Mitochondrial biogenesis protein AIM24
IPR016031,2,2,Tryptophan RNA-binding attenuator protein-like domain superfamily
IPR036983,2,2,Mitochondrial biogenesis AIM24 superfamily
IPR018859,1,1,BAR domain-containing family
IPR007224,1,1,Transcription initiation factor Rrn11
IPR001154,1,1,"DNA topoisomerase II, eukaryotic-type"
IPR001241,1,1,"DNA topoisomerase, type IIA"
IPR002205,1,1,"DNA topoisomerase, type IIA, domain A"
IPR006171,2,2,TOPRIM domain
IPR013506,1,1,"DNA topoisomerase, type IIA, subunit B, domain 2"
IPR013757,1,1,"DNA topoisomerase, type IIA, alpha-helical domain superfamily"
IPR013758,1,1,"DNA topoisomerase, type IIA, domain A, alpha-beta"
IPR013759,1,1,"DNA topoisomerase, type IIA, subunit B, C-terminal"
IPR013760,1,1,"DNA topoisomerase, type IIA-like domain superfamily"
IPR031660,1,1,C-terminal associated domain of TOPRIM
IPR034157,1,1,"DNA topoisomerase 2, TOPRIM domain"
IPR013907,2,2,Sds3-like
IPR004013,1,1,PHP domain
IPR010140,1,1,"Histidinol phosphate phosphatase, HisJ"
IPR016195,2,2,Polymerase/histidinol phosphatase-like
IPR003892,4,2,Ubiquitin system component CUE
IPR013342,4,3,"Mandelate racemase/muconate lactonizing enzyme, C-terminal"
IPR018110,3,1,"Mandelate racemase/muconate lactonizing enzyme, conserved site"
IPR029017,5,5,"Enolase-like, N-terminal"
IPR029065,5,4,Enolase C-terminal domain-like
IPR034610,1,1,L-fuconate dehydratase
IPR036849,6,5,"Enolase-like, C-terminal domain superfamily"
IPR046945,2,2,L-rhamnonate dehydratase-like
IPR024166,1,1,Ribosomal RNA assembly KRR1
IPR041174,2,1,"Krr1, KH1 domain"
IPR041542,3,4,"Beta-xylosidase, C-terminal Concanavalin A-like domain"
IPR025332,1,0,Protein of unknown function DUF4238
IPR036505,1,0,N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily
IPR006806,1,1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
IPR004469,1,1,Phosphoserine phosphatase
IPR007557,1,1,"PSP1, C-terminal"
IPR039046,1,1,PDPK1 family
IPR045200,1,0,E3 ubiquitin-protein ligase CHIP
IPR000439,1,1,Ribosomal protein L15e
IPR012678,4,4,Ribosomal protein L23/L15e core domain superfamily
IPR020925,1,1,"Ribosomal protein L15e, conserved site"
IPR024794,1,1,Ribosomal protein L15e core domain superfamily
IPR003121,2,2,SWIB/MDM2 domain
IPR019835,2,2,SWIB domain
IPR036885,3,2,SWIB/MDM2 domain superfamily
IPR044611,1,2,Ubiquitin-protein ligase E3A/B/C-like
IPR001129,4,4,"Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein"
IPR023352,4,4,Membrane associated eicosanoid/glutathione metabolism-like domain superfamily
IPR000791,2,3,Acetate transporter GPR1/Ato2/SatP-like
IPR026797,1,0,HAUS augmin-like complex subunit 6
IPR028163,1,1,"HAUS augmin-like complex subunit 6, N-terminal"
IPR003607,3,1,HD/PDEase domain
IPR039356,1,1,5'-deoxynucleotidase YfbR/HDDC2
IPR019410,7,8,Lysine methyltransferase
IPR004007,2,2,DhaL domain
IPR036117,2,2,DhaL domain superfamily
IPR003395,4,3,"RecF/RecN/SMC, N-terminal"
IPR010935,4,2,SMCs flexible hinge
IPR024704,3,2,Structural maintenance of chromosomes protein
IPR027120,1,0,"Smc2, ATP-binding cassette domain"
IPR036277,4,2,SMCs flexible hinge superfamily
IPR003171,2,2,Methylenetetrahydrofolate reductase-like
IPR004621,2,2,Eukaryotic-type methylenetetrahydrofolate reductase
IPR001670,4,1,"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA"
IPR018211,1,0,"Alcohol dehydrogenase, iron-type, conserved site"
IPR039697,4,1,Iron-type alcohol dehydrogenase-like
IPR027533,1,0,"Very-long-chain 3-oxoacyl-CoA reductase, fungal"
IPR005352,1,0,Erg28
IPR001937,1,0,"Galactose-1-phosphate uridyl transferase, class I"
IPR005849,1,0,"Galactose-1-phosphate uridyl transferase, N-terminal"
IPR005850,1,0,"Galactose-1-phosphate uridyl transferase, C-terminal"
IPR019779,1,0,"Galactose-1-phosphate uridyl transferase, class I His-active site"
IPR000156,2,2,Ran binding domain
IPR045255,2,2,Ran binding protein RanBP1-like
IPR001930,3,2,"Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase"
IPR012777,1,0,Leukotriene A4 hydrolase/leucine aminopeptidase
IPR014782,3,2,"Peptidase M1, membrane alanine aminopeptidase"
IPR015211,1,0,"Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal"
IPR027268,4,5,"Peptidase M4/M1, CTD superfamily"
IPR034015,1,0,"Aminopeptidase, leukotriene A4 hydrolase-like"
IPR038502,1,0,"Peptidase M1, LTA-4 hydrolase/aminopeptidase, C-terminal domain superfamily"
IPR042097,4,3,"Aminopeptidase N-like , N-terminal domain superfamliy"
IPR045357,3,2,"Aminopeptidase N-like , N-terminal domain"
IPR017981,3,1,"GPCR, family 2-like, transmembrane domain"
IPR004712,5,2,"Na+/H+ antiporter, fungi"
IPR006153,7,5,Cation/H+ exchanger
IPR000169,1,2,"Cysteine peptidase, cysteine active site"
IPR004134,1,1,"Peptidase C1B, bleomycin hydrolase"
IPR005302,4,5,"Molybdenum cofactor sulfurase, C-terminal"
IPR005303,4,2,"Molybdenum cofactor sulfurase, middle domain"
IPR011037,4,5,"Pyruvate kinase-like, insert domain superfamily"
IPR001114,1,3,Adenylosuccinate synthetase
IPR018220,1,2,"Adenylosuccinate synthase, GTP-binding site"
IPR033128,1,1,"Adenylosuccinate synthase, active site"
IPR042109,1,2,"Adenylosuccinate synthetase, domain 1"
IPR042110,1,2,"Adenylosuccinate synthetase, domain 2"
IPR042111,1,2,"Adenylosuccinate synthetase, domain 3"
IPR018564,1,1,"DNA replication checkpoint mediator, MRC1 domain"
IPR024146,1,1,Claspin
IPR011566,1,1,Ubiquinone biosynthesis protein Coq7
IPR004343,1,1,Plus-3 domain
IPR036128,1,1,Plus3-like superfamily
IPR001619,5,5,Sec1-like protein
IPR027482,5,5,"Sec1-like, domain 2"
IPR036045,5,5,Sec1-like superfamily
IPR043154,4,4,"Sec1-like, domain 1"
IPR018545,1,1,Btz domain
IPR036598,3,3,GOLD domain superfamily
IPR041680,1,1,Pleckstrin homology domain 8
IPR031563,1,1,Molybdate transporter 1/2
IPR009400,1,1,TFIIH subunit TTDA/Tfb5
IPR035935,1,1,TFB5-like superfamily
IPR045223,1,1,Receptor of activated protein kinase C 1 RACK1/Asc1
IPR003738,2,1,SOS response associated peptidase (SRAP)
IPR036590,1,1,SOS response associated peptidase-like
IPR036815,4,2,14-3-3 domain superfamily
IPR040201,1,1,Protein Mrg3-like
IPR003096,1,1,Smooth muscle protein/calponin
IPR000591,4,4,DEP domain
IPR001330,2,2,PFTB repeat
IPR008930,4,7,Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
IPR041960,1,0,Geranylgeranyl transferase type-1 subunit beta
IPR045089,2,2,Prenyltransferase subunit beta
IPR035206,1,1,Proteasome subunit beta 2
IPR019183,1,1,"N-alpha-acetyltransferase 25, NatB auxiliary subunit"
IPR011234,7,7,"Fumarylacetoacetase-like, C-terminal"
IPR036663,7,7,"Fumarylacetoacetase-like, C-terminal domain superfamily"
IPR002068,2,1,Alpha crystallin/Hsp20 domain
IPR008978,7,4,HSP20-like chaperone
IPR031107,2,1,Small heat shock protein
IPR008193,2,1,"DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site"
IPR009025,2,1,"DNA-directed RNA polymerase, RBP11-like dimerisation domain"
IPR037685,1,1,RNA polymerase RBP11
IPR002695,1,1,Bifunctional purine biosynthesis protein PurH-like
IPR011607,3,3,Methylglyoxal synthase-like domain
IPR024050,1,1,"AICAR transformylase, insert domain superfamily"
IPR024051,1,1,"AICAR transformylase, duplicated domain superfamily"
IPR036914,3,3,Methylglyoxal synthase-like domain superfamily
IPR024571,2,2,ERAP1-like C-terminal domain
IPR034016,2,2,Aminopeptidase N-type
IPR032974,1,1,Polyprenol kinase family
IPR026183,1,1,Taxilin family
IPR013578,2,1,Peptidase M16C associated
IPR007185,3,3,"DNA polymerase alpha/delta/epsilon, subunit B"
IPR024826,1,1,DNA polymerase delta/II small subunit family
IPR040663,1,1,"DNA polymerase delta subunit, OB-fold domain"
IPR041863,1,0,"DNA polymerase delta subunit 2, C-terminal domain"
IPR012571,1,1,"Mitochondrial distribution and morphology protein family 31/32, fungi"
IPR017383,1,1,Actin-related protein 2/3 complex subunit 1
IPR045164,1,1,RNA-binding region-containing protein RBM41/RNPC3
IPR005746,2,2,Thioredoxin
IPR010400,2,2,PITH domain
IPR037047,2,2,PITH domain superfamily
IPR002761,1,1,Diphthamide synthase domain
IPR030662,1,1,Diphthine--ammonia ligase/Uncharacterised protein MJ0570
IPR012479,1,1,SAP30-binding protein
IPR016295,1,1,Proteasome subunit beta 4
IPR019402,3,2,Frag1/DRAM/Sfk1
IPR000509,1,1,Ribosomal protein L36e
IPR038097,1,1,Ribosomal protein L36e domain superfamily
IPR001012,5,5,UBX domain
IPR021569,1,1,TUG ubiquitin-like domain
IPR002326,1,1,Cytochrome c1
IPR021157,1,1,"Cytochrome c1, transmembrane anchor, C-terminal"
IPR009001,6,5,"Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal"
IPR015256,1,1,"Initiation factor eIF2 gamma, C-terminal"
IPR044127,1,1,"Initiation factor eIF2 gamma, domain 2"
IPR044128,1,0,"Initiation factor eIF2 gamma, GTP-binding domain"
IPR025929,1,1,Insulin-induced protein family
IPR004762,2,1,"Amino acid permease, fungi"
IPR004840,13,7,"Amino acid permease, conserved site"
IPR038014,1,1,Ino80 subunit 1
IPR018392,5,8,LysM domain
IPR036779,6,10,LysM domain superfamily
IPR021054,3,2,Cell wall mannoprotein 1
IPR015141,1,0,"Phospholipase A2, prokaryotic/fungal"
IPR036444,1,0,Phospholipase A2 domain superfamily
IPR000547,4,4,"Clathrin, heavy chain/VPS, 7-fold repeat"
IPR007810,1,1,Pep3/Vps18/deep orange
IPR042171,1,3,"Acyl-CoA thioesterase, double hotdog domain"
IPR001348,1,1,ATP phosphoribosyltransferase HisG
IPR011322,1,0,"Nitrogen regulatory PII-like, alpha/beta"
IPR013115,1,0,"Histidine biosynthesis HisG, C-terminal"
IPR013820,1,1,"ATP phosphoribosyltransferase, catalytic domain"
IPR015867,2,0,"Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal"
IPR020621,1,0,"ATP phosphoribosyltransferase HisG, long form"
IPR000289,2,1,Ribosomal protein S28e
IPR028626,2,1,Ribosomal protein S28e conserved site
IPR014905,2,1,HIRAN domain
IPR022708,1,1,"Serine/threonine-protein kinase Atg1-like, tMIT domain"
IPR045269,2,7,Serine/threonine-protein kinase Atg1-like
IPR001892,1,2,Ribosomal protein S13
IPR010979,2,3,"Ribosomal protein S13-like, H2TH"
IPR018269,1,2,"Ribosomal protein S13, conserved site"
IPR027437,1,2,"30s ribosomal protein S13, C-terminal"
IPR001148,2,1,Alpha carbonic anhydrase domain
IPR023561,2,1,"Carbonic anhydrase, alpha-class"
IPR036398,2,1,Alpha carbonic anhydrase domain superfamily
IPR041891,2,1,"Carbonic anhydrase, prokaryotic-like"
IPR012901,1,0,Carnosine N-methyltransferase
IPR004045,17,16,"Glutathione S-transferase, N-terminal"
IPR016639,3,1,Glutathione S-transferase Omega/GSH
IPR040079,9,11,Glutathione transferase family
IPR047047,3,1,"Glutathione S-transferases Omega-like, C-terminal"
IPR041823,1,2,"YHR202W-like, N-terminal metallophosphatase domain"
IPR018793,1,1,Cytochrome c oxidase assembly protein PET191
IPR004046,9,13,"Glutathione S-transferase, C-terminal"
IPR004552,1,1,1-acyl-sn-glycerol-3-phosphate acyltransferase
IPR008506,1,0,SRP-independent targeting protein 2/TMEM208
IPR006214,2,1,Bax inhibitor 1-related
IPR008467,1,1,Dynein 1 light intermediate chain
IPR022780,1,1,Dynein family light intermediate chain
IPR000219,8,7,Dbl homology (DH) domain
IPR035899,8,7,Dbl homology (DH) domain superfamily
IPR041675,2,2,Pleckstrin homology domain 5
IPR003767,1,2,Malate/L-lactate dehydrogenase-like
IPR036111,1,2,Malate/L-sulfolactate/L-lactate dehydrogenase-like superfamily
IPR043143,1,2,"Malate/L-sulfolactate/L-lactate dehydrogenase-like, NADPH binding domain"
IPR043144,1,2,"Malate/L-sulfolactate/L-lactate dehydrogenase-like, alpha-helical domain"
IPR007817,2,1,Isocyanide synthase/Spore wall maturation protein DIT1
IPR016170,3,3,"Cytokinin dehydrogenase, C-terminal domain superfamily"
IPR015155,1,1,PLAA family ubiquitin binding domain
IPR038122,1,1,PFU domain superfamily
IPR005708,3,1,"Homogentisate 1,2-dioxygenase"
IPR046452,3,1,"Homogentisate 1,2-dioxygenase, N-terminal domain"
IPR000996,1,1,Clathrin light chain
IPR009286,1,1,Inositol-pentakisphosphate 2-kinase
IPR002767,1,0,Thiamine-binding protein
IPR029756,1,0,MTH1187/YkoF-like
IPR039297,1,0,Cytochrome c oxidase subunit VII
IPR001882,2,2,Biotin-binding site
IPR011762,2,2,"Acetyl-coenzyme A carboxyltransferase, N-terminal"
IPR013537,1,1,"Acetyl-CoA carboxylase, central domain"
IPR016340,1,0,"Ribosomal protein L31, mitochondrial"
IPR006722,2,2,Trafficking protein particle complex subunit 2
IPR006964,1,1,NUDE domain
IPR033494,1,1,NUDE family
IPR018613,1,1,Ccdc97-like
IPR040233,1,1,"CCD97-like, C-terminal"
IPR022036,1,3,Protein of unknown function DUF3605
IPR021036,1,1,"Ribosomal protein S35, mitochondrial"
IPR000300,4,3,Inositol polyphosphate-related phosphatase
IPR046985,4,3,Inositol 5-phosphatase
IPR003560,3,0,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
IPR004918,1,0,Cdc37
IPR013855,1,0,"Cdc37, N-terminal domain"
IPR013873,1,0,"Cdc37, C-terminal"
IPR013874,1,0,"Cdc37, Hsp90 binding"
IPR038189,1,0,"Cdc37, Hsp90-binding domain superfamily"
IPR019136,1,0,"Transcription factor IIIC subunit 5, HTH domain"
IPR040454,1,0,Transcription factor IIIC subunit Tfc1/Sfc1
IPR041499,1,0,"Transcription factor IIIC subunit Tfc1/Sfc1, triple barrel domain"
IPR042536,1,0,"TFIIIC, subcomplex tauA subunit Sfc1, triple barrel domain superfamily"
IPR002554,1,0,"Protein phosphatase 2A, regulatory B subunit, B56"
IPR002076,3,2,ELO family
IPR030457,3,0,"ELO family, conserved site"
IPR003204,1,1,"Cytochrome c oxidase, subunit Va/VI"
IPR036545,1,1,"Cytochrome c oxidase, subunit Va/VI superfamily"
